iter	Passed	Remaining
419	2386	3295
420	2392	3290
421	2397	3284
422	2402	3276
423	2407	3270
424	2412	3264
425	2417	3256
426	2421	3249
427	2426	3242
428	2430	3235
429	2435	3228
430	2441	3223
431	2447	3218
432	2452	3211
433	2457	3205
434	2463	3199
435	2467	3192
436	2473	3186
437	2480	3182
438	2485	3176
439	2491	3170
440	2495	3163
441	2499	3155
442	2505	3150
443	2511	3145
444	2516	3138
445	2521	3132
446	2526	3125
447	2531	3119
448	2537	3114
449	2544	3110
450	2549	3103
451	2555	3098
452	2560	3091
453	2565	3085
454	2571	3080
455	2577	3075
456	2584	3070
457	2589	3064
458	2593	3057
459	2598	3050
460	2604	3045
461	2609	3038
462	2614	3031
463	2618	3024
464	2623	3017
465	2627	3011
466	2634	3006
467	2640	3001
468	2644	2994
469	2649	2987
470	2654	2981
471	2659	2975
472	2665	2969
473	2671	2964
474	2676	2958
475	2681	2952
476	2686	2946
477	2691	2939
478	2696	2932
479	2702	2927
480	2707	2921
481	2712	2915
482	2717	2909
483	2722	2902
484	2727	2896
485	2734	2892
486	2739	2886
487	2744	2879
488	2749	2872
489	2753	2866
490	2759	2860
491	2765	2855
492	2771	2850
493	2777	2844
494	2782	2839
495	2787	2832
496	2793	2827
497	2798	2821
498	2805	2816
499	2810	2810
500	2814	2803
501	2819	2797
502	2824	2790
503	2830	2786
504	2836	2780
505	2841	2774
506	2846	2768
507	2852	2762
508	2858	2756
509	2864	2751
510	2869	2746
511	2874	2740
512	2879	2733
513	2884	2727
514	2889	2721
515	2895	2715
516	2901	2710
517	2907	2705
518	2912	2699
519	2916	2692
520	2922	2686
521	2928	2681
522	2934	2675
523	2940	2670
524	2946	2665
525	2954	2662
526	2961	2658
527	2968	2653
528	2974	2647
529	2981	2643
530	2988	2639
531	2994	2634
532	3001	2629
533	3006	2623
534	3011	2617
535	3017	2612
536	3024	2607
537	3030	2602
538	3036	2596
539	3041	2590
540	3046	2584
541	3054	2581
542	3060	2575
543	3067	2571
544	3072	2564
545	3077	2558
546	3083	2553
547	3088	2547
548	3094	2542
549	3099	2536
550	3105	2530
551	3109	2523
552	3114	2517
553	3120	2512
554	3126	2507
555	3133	2501
556	3138	2495
557	3142	2489
558	3149	2484
559	3155	2479
560	3161	2473
561	3166	2467
562	3171	2461
563	3176	2455
564	3182	2449
565	3187	2444
566	3192	2438
567	3198	2432
568	3203	2426
569	3208	2420
570	3214	2414
571	3220	2409
572	3226	2404
573	3232	2398
574	3236	2392
575	3241	2386
576	3247	2380
577	3252	2374
578	3259	2370
579	3266	2365
580	3271	2359
581	3278	2354
582	3284	2349
583	3289	2343
584	3294	2337
585	3299	2330
586	3305	2326
587	3312	2320
588	3318	2315
589	3324	2310
590	3329	2304
591	3334	2297
592	3339	2292
593	3344	2286
594	3349	2280
595	3354	2274
596	3359	2268
597	3364	2261
598	3369	2255
599	3375	2250
600	3379	2243
601	3384	2237
602	3389	2231
603	3394	2225
604	3398	2219
605	3405	2214
606	3410	2208
607	3416	2202
608	3421	2196
609	3426	2190
610	3430	2184
611	3436	2178
612	3442	2173
613	3447	2167
614	3453	2162
615	3458	2156
616	3464	2150
617	3469	2144
618	3475	2139
619	3481	2133
620	3486	2127
621	3491	2121
622	3496	2115
623	3502	2110
624	3508	2105
625	3514	2099
626	3519	2093
627	3524	2087
628	3529	2081
629	3534	2076
630	3540	2070
631	3546	2064
632	3551	2058
633	3555	2052
634	3561	2047
635	3566	2041
636	3571	2035
637	3576	2029
638	3580	2023
639	3585	2016
640	3590	2010
641	3595	2005
642	3602	2000
643	3607	1994
644	3612	1988
645	3617	1982
646	3622	1976
647	3627	1970
648	3633	1965
649	3638	1959
650	3644	1953
651	3648	1947
652	3653	1941
653	3659	1936
654	3665	1930
655	3670	1924
656	3675	1918
657	3679	1912
658	3683	1906
659	3690	1901
660	3695	1895
661	3700	1889
662	3704	1883
663	3709	1877
664	3714	1871
665	3720	1865
666	3725	1860
667	3730	1854
668	3735	1848
669	3740	1842
670	3745	1836
671	3750	1830
672	3757	1825
673	3762	1819
674	3766	1813
675	3771	1807
676	3776	1801
677	3780	1795
678	3786	1790
679	3792	1784
680	3797	1779
681	3803	1773
682	3808	1767
683	3814	1762
684	3820	1756
685	3826	1751
686	3839	1749
687	3847	1744
688	3855	1740
689	3861	1734
690	3866	1728
691	3870	1722
692	3875	1716
693	3880	1711
694	3886	1705
695	3892	1699
696	3897	1694
697	3902	1688
698	3908	1682
699	3914	1677
700	3919	1671
701	3925	1666
702	3929	1660
703	3950	1660
704	3954	1654
705	3959	1648
706	3964	1642
707	3968	1636
708	3973	1630
709	3978	1624
710	3982	1618
711	3987	1612
712	3992	1607
713	3997	1601
714	4002	1595
715	4008	1590
716	4014	1584
717	4020	1579
718	4025	1573
719	4030	1567
720	4036	1562
721	4044	1557
722	4050	1551
723	4055	1546
724	4062	1540
725	4067	1535
726	4074	1529
727	4080	1524
728	4085	1518
729	4091	1513
730	4097	1507
731	4105	1503
732	4112	1498
733	4120	1493
